"<a href=""https://en.wikipedia.org/wiki/Abyssal_plain"" title=""Abyssal plain"">abyssal plain</a>"|"
<dd class=""glossary"">Flat or very gently sloping areas of the deep ocean basin floor.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Hornblende"" title=""Hornblende"">hornblende</a>"|"
<dd class=""glossary"">An important rock-forming mineral of complex composition, essentially a <a href=""#silicate""><span title=""See entry on this page at § silicate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">silicate</span></a> of <a href=""https://en.wikipedia.org/wiki/Calcium"" title=""Calcium"">calcium</a>, <a href=""https://en.wikipedia.org/wiki/Magnesium"" title=""Magnesium"">magnesium</a> and <a href=""https://en.wikipedia.org/wiki/Iron"" title=""Iron"">iron</a>, with smaller amounts of <a href=""#potash""><span title=""See entry on this page at § potash"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">potash</span></a>, soda and <a href=""https://en.wikipedia.org/wiki/Hydroxyl"" class=""mw-redirect"" title=""Hydroxyl"">hydroxyl</a>. Hornblende crystallises in the <a href=""#monoclinic""><span title=""See entry on this page at § monoclinic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">monoclinic</span></a> system and occurs as black crystals or grains in many different types of igneous and metamorphic rocks, including hornblende-granite, syenite, <a href=""#diorite""><span title=""See entry on this page at § diorite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">diorite</span></a>, <a href=""#andesite""><span title=""See entry on this page at § andesite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">andesite</span></a>, hornblende-schist, and <a href=""#amphibole""><span title=""See entry on this page at § amphibole"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">amphibole</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Hornfels"" title=""Hornfels"">hornfels</a>"|"
<dd class=""glossary"">A hard, compact, fine-textured contact-altered <a href=""#argillaceous""><span title=""See entry on this page at § argillaceous"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">argillaceous</span></a> rock that breaks into splintery fragments.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Horst_(geology)"" title=""Horst (geology)"">horst</a>"|"
<dd class=""glossary"">A raised fault block bounded by <a href=""https://en.wikipedia.org/wiki/Fault_(geology)"" title=""Fault (geology)"">normal faults</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Hot_spring"" title=""Hot spring"">hot spring</a>"|"
<dd class=""glossary"">A natural spring resulting from the emergence of geothermally heated groundwater from beneath the Earth's crust.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Hydrothermal"" class=""mw-redirect"" title=""Hydrothermal"">hydrothermal</a>"|"
<dd class=""glossary"">Pertaining to the actions or products of heated water.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Hydrothermal_vent"" title=""Hydrothermal vent"">hydrothermal vent</a>"|"
<dd class=""glossary"">A fissure in a planet's surface from which geothermally heated water emerges.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Hypersaline"" class=""mw-redirect"" title=""Hypersaline"">hypersaline</a>"|"
<dd class=""glossary"">Having a saltiness or dissolved salt content greater than that of seawater.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Ichnology"" class=""mw-redirect"" title=""Ichnology"">ichnology</a>"|"
<dd class=""glossary"">A branch of biology that deals with <a href=""#trace_fossil""><span title=""See entry on this page at § trace fossil"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">traces</span></a> of organismal behavior.</dd>
"
"idiomorphic"|"
<dd class=""glossary"">Bounded by the crystal faces peculiar to the species, used of minerals. Synonymous with <a href=""#euhedral""><span title=""See entry on this page at § euhedral"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">euhedral</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Igneous_rock"" title=""Igneous rock"">igneous rock</a>"|"
<dd class=""glossary"">A type of <a href=""#rock""><span title=""See entry on this page at § rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">rock</span></a> formed by solidification of cooled magma (molten rock), with or without crystallization, either below the surface as intrusive (<a href=""#plutonic""><span title=""See entry on this page at § plutonic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">plutonic</span></a>) rocks or on the surface as extrusive (<a href=""#volcanic""><span title=""See entry on this page at § volcanic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">volcanic</span></a>) rocks.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Ignimbrite"" title=""Ignimbrite"">ignimbrite</a>"|"
<dd class=""glossary"">Fine-grained to aphanitic, buff to dark brown compact rock with parallel streaks or lenticles of black glass, produced by violently explosive volcanoes.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Ilmenite"" title=""Ilmenite"">ilmenite</a>"|"
<dd class=""glossary"">An oxide of iron and titanium, crystallising in the trigonal system; a widespread accessory mineral in igneous rocks, especially those of basic composition.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Indurated"" class=""mw-redirect"" title=""Indurated"">indurated</a>"|"
<dd class=""glossary"">Made hard (by heat or compaction).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Interbedded"" class=""mw-redirect"" title=""Interbedded"">interbedded</a>"|"<dd class=""glossary"">beds (layers) of rock lying between or alternating with beds of a different kind of rock.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Intrusion"" class=""mw-redirect"" title=""Intrusion"">intrusion</a>"|"<dd class=""glossary"">body of igneous rock that has crystallized from molten magma below the surface of the Earth.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Island_arc"" title=""Island arc"">island arc</a>"|"
<dd class=""glossary"">A chain of volcanic islands or mountains formed by plate tectonics as an oceanic tectonic plate subducts under another tectonic plate and produces magma.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Isomorphism_(crystallography)"" title=""Isomorphism (crystallography)"">isomorphic</a>"|"
<dd class=""glossary"">Two crystals that have similar shapes and sizes, usually through the angles.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Isotope"" title=""Isotope"">isotope</a>"|"
<dd class=""glossary"">different forms of an element each having different atomic mass (mass number).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Joint_(geology)"" title=""Joint (geology)"">joint</a>"|"
<dd class=""glossary"">A discrete discontinuity surface without evidence of displacement. See also <i><a href=""#diaclase""><span title=""See entry on this page at § diaclase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">diaclase</span></a></i> or <i><a href=""#bed""><span title=""See entry on this page at § bed"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">bedding</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Jurassic"" title=""Jurassic"">Jurassic</a>"|"
<dd class=""glossary"">A major unit of the geologic timescale that extended from about 199.6 ± 0.6 Ma (million years ago) to 145.4 ± 4.0 Ma, between the end of the Triassic and the beginning of the Cretaceous.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Year#Symbols"" title=""Year"">Ka</a>"|"
<dd class=""glossary"">A non-standard but widely used abbreviation for one thousand (1,000) years, using the metric prefix K (for ""Kilo"") to indicate a quantity of one thousand. When not otherwise qualified, it usually indicates 1,000 years <i><a href=""#before_Present""><span title=""See entry on this page at § Before Present"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Before Present</span></a></i> (or 1,000 years ago).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Kame"" title=""Kame"">kame</a>"|"
<dd class=""glossary"">An irregularly shaped hill or mound composed of sand, gravel and <a href=""#till""><span title=""See entry on this page at § till"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">till</span></a> that accumulates in a depression on a retreating glacier and is then deposited on the land surface with further melting of the glacier.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Kaolinite"" title=""Kaolinite"">kaolinite</a>"|"
<dd class=""glossary"">A finely crystalline form of hydrated aluminium silicate occurring as minute monoclinic flaky crystals with a perfect basal <a href=""#cleavage""><span title=""See entry on this page at § cleavage"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">cleavage</span></a>, resulting mainly from the alteration of <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspars</span></a> under conditions of hydrothermal or pneumatolytic metamorphism.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Karst"" title=""Karst"">karst</a>"|"
<dd class=""glossary"">A distinct type of landscape shaped by the dissolution of a layer or layers of soluble <a href=""#bedrock""><span title=""See entry on this page at § bedrock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">bedrock</span></a>, usually <a href=""#carbonate""><span title=""See entry on this page at § carbonate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">carbonate</span></a> rock such as <a href=""#limestone""><span title=""See entry on this page at § limestone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">limestone</span></a> or <a href=""#dolomite""><span title=""See entry on this page at § dolomite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">dolomite</span></a>. Karst topography is usually characterised by closed depressions or sinkholes, caves and underground drainage.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Kettle_(landform)"" title=""Kettle (landform)"">kettle</a>"|"
<dd class=""glossary"">A fluvioglacial landform occurring as the result of blocks of ice <a href=""https://en.wikipedia.org/wiki/Ice_calving"" title=""Ice calving"">calving</a> from the front of a receding glacier and becoming partially to wholly buried by glacial outwash.</dd>
"
"<a href=""https://en.wiktionary.org/wiki/kink"" class=""extiw"" title=""wikt:kink"">kink</a>"|"
<dd class=""glossary"">A tight curl, twist, or bend in a rock band. See also <i><a href=""#fold""><span title=""See entry on this page at § fold"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">folding</span></a></i> and <i><a href=""#buckling""><span title=""See entry on this page at § buckling"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">buckling</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Kink_band&amp;action=edit&amp;redlink=1"" class=""new"" title=""Kink band (page does not exist)"">kink band</a>"|"
<dd class=""glossary"">An asymmetric, linear zone of deformation characterised by a tight curled, twisted, or bended rock band. Kink bands may also occur as conjugated sets.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Kyanite"" title=""Kyanite"">kyanite</a>"|"
<dd class=""glossary"">A <a href=""#silicate""><span title=""See entry on this page at § silicate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">silicate</span></a> of aluminium which crystallises in the triclinic system. It usually occurs as long-bladed crystals, blue in colour, in <a href=""#metamorphic_rock""><span title=""See entry on this page at § metamorphic rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">metamorphic rocks</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Lacuna_(geology)&amp;action=edit&amp;redlink=1"" class=""new"" title=""Lacuna (geology) (page does not exist)"">lacuna</a>"|"
<dd class=""glossary"">A time-stratigraphic unit representing the gap in the stratigraphic record. Specifically the missing interval at an unconformity, representing the interpreted space-time value of both hiatus (period of non-deposition), and degradation vacuity (period of erosion).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Lamprophyre"" title=""Lamprophyre"">lamprophyre</a>"|"
<dd class=""glossary"">Igneous rocks usually occurring as dykes intimately related to larger intrusive bodies; characterised by abnormally high contents of coloured silicates, such as biotite, hornblende and augite, and a correspondingly small amount of feldspar, some being feldspar-free.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Lava"" title=""Lava"">lava</a>"|"
<dd class=""glossary"">Molten rock expelled by a volcano during an eruption.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Leucocratic"" class=""mw-redirect"" title=""Leucocratic"">leucocratic</a>"|"
<dd class=""glossary"">A term used to denote a light colour in <a href=""#igneous_rock""><span title=""See entry on this page at § igneous rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous rocks</span></a>, due to a high content of <a href=""#felsic""><span title=""See entry on this page at § felsic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">felsic</span></a> minerals and a correspondingly small amount of dark, heavy silicates.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Limestone"" title=""Limestone"">limestone</a>"|"
<dd class=""glossary"">A <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rock</span></a> composed largely of the mineral <a href=""#calcite""><span title=""See entry on this page at § calcite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">calcite</span></a> (<a href=""https://en.wikipedia.org/wiki/Calcium_carbonate"" title=""Calcium carbonate"">calcium carbonate</a>: CaCO<sub>3</sub>).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Liquefaction"" title=""Liquefaction"">liquefaction</a>"|"
<dd class=""glossary"">Soil liquefaction describes the behavior of soils that, when loaded, suddenly suffer a transition from a solid state to a liquefied state, or having the consistency of a heavy liquid.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Lithic_fragment_(geology)"" title=""Lithic fragment (geology)"">lithic fragment</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also simply called a <b>lithic</b>.</span></p>
<dd class=""glossary"">A sand-sized grain that is made up of smaller than sand-sized grains, e.g. a <a href=""#shale""><span title=""See entry on this page at § shale"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">shale</span></a> fragment or <a href=""#basalt""><span title=""See entry on this page at § basalt"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">basalt</span></a> fragment in a <a href=""#sandstone""><span title=""See entry on this page at § sandstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sandstone</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Lithification"" title=""Lithification"">lithification</a>"|"
<dd class=""glossary"">The process by which sediments compact under pressure, expel connate fluids, and gradually become solid <a href=""#rock""><span title=""See entry on this page at § rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">rock</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Lithology"" title=""Lithology"">lithology</a>"|"
<dd class=""glossary"">A description of the physical characteristics of a rock unit visible at outcrop, in hand or core samples or with low magnification microscopy, such as colour, texture, grain size, or composition.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Lithotype&amp;action=edit&amp;redlink=1"" class=""new"" title=""Lithotype (page does not exist)"">lithotype</a>"|"
<dd class=""glossary"">Specific types of rock classified according to the standards of <a href=""#lithology""><span title=""See entry on this page at § lithology"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">lithology</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Loess"" title=""Loess"">loess</a>"|"
<dd class=""glossary"">A fine, silty, pale yellow or buff-coloured, windblown (eolian) type of unconsolidated deposit.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Lustre_(mineralogy)"" title=""Lustre (mineralogy)"">lustre</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also spelled <b>luster</b>.</span></p>
<dd class=""glossary""></dd>
"
"<a href=""https://en.wikipedia.org/wiki/Mya_(unit)"" class=""mw-redirect"" title=""Mya (unit)"">Ma</a>"|"
<dd class=""glossary"">A non-standard but widely used abbreviation for one million (1,000,000) years, using the metric prefix M (for ""Mega"") to indicate a quantity of one million. When not otherwise qualified, it usually indicates 1,000,000 years <i><a href=""#before_Present""><span title=""See entry on this page at § Before Present"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Before Present</span></a></i> (or 1,000,000 years ago).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Mafic"" title=""Mafic"">mafic</a>"|"
<dd class=""glossary"">A silicate mineral or rock that is rich in <a href=""https://en.wikipedia.org/wiki/Magnesium"" title=""Magnesium"">magnesium</a> and <a href=""https://en.wikipedia.org/wiki/Iron"" title=""Iron"">iron</a>. A mnemonic term for the ferromagnesian and other non-felsic minerals actually present in an igneous rock rich in dark (ferromagnesian) minerals (greater than 60% by volume). Basic [alkali gabbro (alkali basalt), syeno-gabbro (trachybasalt), gabbro (basalt and dolerite)].</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Magma"" title=""Magma"">magma</a>"|"
<dd class=""glossary"">Molten rock that sometimes forms beneath the surface of the Earth (or other terrestrial planets) and often collects in a magma chamber.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Magnetite"" title=""Magnetite"">magnetite</a>"|"
<dd class=""glossary"">An oxide of iron which crystallises in the cubic system. It is attracted by a magnet but does not attract iron itself.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Malmesbury_group&amp;action=edit&amp;redlink=1"" class=""new"" title=""Malmesbury group (page does not exist)"">Malmesbury group</a>"|"
<dd class=""glossary"">An 830 to 980 Ma basal group of the <a href=""https://en.wikipedia.org/wiki/Western_Cape"" title=""Western Cape"">Western Cape</a> comprising at least eight distinct formations, including the Tygerberg, Piketberg, Porterville, Berg river, Klipplaat, Moorreesburg, Franschhoek, and Bridgetown formations.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Mantle_(geology)"" title=""Mantle (geology)"">mantle</a>"|"
<dd class=""glossary"">The highly viscous layer of molten rock situated directly beneath the Earth's <a href=""#crust""><span title=""See entry on this page at § crust"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">crust</span></a> and above the outer <a href=""#core""><span title=""See entry on this page at § core"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">core</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Marble"" title=""Marble"">marble</a>"|"
<dd class=""glossary"">A fine to coarse-grained granoblastic <a href=""https://en.wikipedia.org/wiki/Calcium_carbonate"" title=""Calcium carbonate"">calcium carbonate</a> that effervesces in dilute hydrochloric acid. Often banded with various colours and sometimes veined.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Marine_terrace"" class=""mw-redirect"" title=""Marine terrace"">marine terrace</a>"|"
<dd class=""glossary"">A narrow, flat area often seen at the base of a sea cliff caused by the action of the waves.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Marl"" title=""Marl"">marl</a>"|"
<dd class=""glossary"">A <a href=""https://en.wikipedia.org/wiki/Calcium_carbonate"" title=""Calcium carbonate"">calcium carbonate</a> or lime-rich mud or <a href=""#mudstone""><span title=""See entry on this page at § mudstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mudstone</span></a> which contains variable amounts of clays and <a href=""https://en.wikipedia.org/wiki/Aragonite"" title=""Aragonite"">aragonite</a>.</dd>
"
"massive"|"
<dd class=""glossary"">A description applied to a homogeneous rock which lacks internal structure or layers.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/M%C3%A9lange"" title=""Mélange"">mélange</a>"|"
<dd class=""glossary"">Large-scale <a href=""#breccia""><span title=""See entry on this page at § breccia"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">breccia</span></a> formed in the <a href=""#accretionary_wedge""><span title=""See entry on this page at § accretionary wedge"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">accretionary wedge</span></a> above a subduction zone.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Melanocratic"" class=""mw-redirect"" title=""Melanocratic"">melanocratic</a>"|"
<dd class=""glossary"">A term applied to rocks which are abnormally rich in dark and heavy ferro-magnesium minerals.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Mesocratic&amp;action=edit&amp;redlink=1"" class=""new"" title=""Mesocratic (page does not exist)"">mesocratic</a>"|"
<dd class=""glossary"">A term applied to <a href=""#igneous_rock""><span title=""See entry on this page at § igneous rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous rocks</span></a> which in respect of their content of dark silicates are intermediate between those of leucocratic and melanocratic type, and contain 30–60% of dark heavy minerals.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Mesozoic"" title=""Mesozoic"">Mesozoic</a>"|"
<dd class=""glossary"">The <a href=""#era""><span title=""See entry on this page at § era"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">era</span></a> of geological time including the <a href=""#triassic""><span title=""See entry on this page at § Triassic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Triassic</span></a>, <a href=""#jurassic""><span title=""See entry on this page at § Jurassic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Jurassic</span></a>, and <a href=""#cretaceous""><span title=""See entry on this page at § Cretaceous"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Cretaceous</span></a> ages.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Metamorphic_rock"" title=""Metamorphic rock"">metamorphic rock</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Metamorphism"" title=""Metamorphism"">metamorphism</a>"|"
<dd class=""glossary"">The solid state recrystallisation of pre-existing rocks due to changes in heat and/or pressure and/or the introduction of fluids, i.e. without melting.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Metapelite"" class=""mw-redirect"" title=""Metapelite"">metapelite</a>"|"
<dd class=""glossary"">A metamorphosed pelite rock.</dd>
"
"metasilicate"|"
<dd class=""glossary"">A salt of metasilicic acid H<sub>2</sub>SiO<sub>3</sub>.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Metatexis&amp;action=edit&amp;redlink=1"" class=""new"" title=""Metatexis (page does not exist)"">metatexis</a>"|"
<dd class=""glossary"">Low-grade <a href=""#anatexis""><span title=""See entry on this page at § anatexis"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">anatexis</span></a>: partial or differential melting of rock components with low melting point.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Mica"" title=""Mica"">mica</a>"|"
<dd class=""glossary"">Any of a set of minerals which crystallise in the <a href=""#monoclinic""><span title=""See entry on this page at § monoclinic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">monoclinic</span></a> system. They have similar chemical compositions and highly perfect basal <a href=""#cleavage""><span title=""See entry on this page at § cleavage"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">cleavage</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Micropaleontology"" title=""Micropaleontology"">micropaleontology</a>"|"
<dd class=""glossary"">A branch of <a href=""#paleontology""><span title=""See entry on this page at § paleontology"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">paleontology</span></a> which studies <a href=""https://en.wikipedia.org/wiki/Microfossil"" class=""mw-redirect"" title=""Microfossil"">microfossils</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Mid-oceanic_ridge"" class=""mw-redirect"" title=""Mid-oceanic ridge"">mid-oceanic ridge</a>"|"
<dd class=""glossary"">An underwater mountain range typically having a valley known as a rift running along its axis, formed by <a href=""#plate_tectonics""><span title=""See entry on this page at § plate tectonics"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">plate tectonics</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Migmatite"" title=""Migmatite"">migmatite</a>"|"
<dd class=""glossary"">A composite rock composed of igneous or igneous-looking and/or metamorphic materials which are generally distinguishable megascopically.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Mineral"" title=""Mineral"">mineral</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Mineralization_(geology)"" title=""Mineralization (geology)"">mineralization</a>"|"
<dd class=""glossary"">The hydrothermal deposition of economically important metals in the formation of ore bodies or ""lodes"".</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Mineralogy"" title=""Mineralogy"">mineralogy</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Geosyncline#Overview"" title=""Geosyncline"">miogeosyncline</a>"|"
<dd class=""glossary"">A <a href=""#geosyncline""><span title=""See entry on this page at § geosyncline"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">geosyncline</span></a> in which <a href=""#volcanism""><span title=""See entry on this page at § volcanism"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">volcanism</span></a> is not associated with sedimentation, or the non-volcanic part of the <a href=""#orthogeosyncline""><span title=""See entry on this page at § orthogeosyncline"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">orthogeosyncline</span></a> located near the <a href=""#craton""><span title=""See entry on this page at § craton"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">craton</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Mohs_scale_of_mineral_hardness"" title=""Mohs scale of mineral hardness"">Mohs scale of mineral hardness</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also simply called the <b>Mohs scale</b>.</span></p>
<dd class=""glossary""></dd>
"
